Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
0.88,0.28,3.38,3.0
0.885,0.342,3.345,3.0
0.89,0.299,3.365,3.0
0.895,0.287,3.318,3.0
0.9,0.332,3.363,3.0
0.905,0.275,3.398,3.0
0.91,0.358,3.325,3.0
0.915,0.31,3.363,3.0
0.92,0.278,3.35,3.0
0.925,0.327,3.383,3.0
0.93,0.287,3.372,3.0
0.935,0.368,3.327,3.0
0.94,0.302,3.418,3.0
0.945,0.273,3.363,3.0
0.95,0.329,3.327,3.0
0.955,0.282,3.383,3.0
0.96,0.301,3.372,3.0
0.965,0.326,3.398,3.0
0.97,0.277,3.365,3.0
0.975,0.317,3.37,3.0
0.98,0.288,3.412,3.0
0.985,0.303,3.338,3.0
0.99,0.333,3.388,3.0
0.995,0.271,3.425,3.0
1.0,0.321,3.352,3.0
1.005,0.301,3.398,3.0
1.01,0.273,3.385,3.0
1.015,0.327,3.388,3.0
1.02,0.283,3.385,3.0
1.025,0.357,3.368,3.0
1.03,0.303,3.435,3.0
1.035,0.279,3.36,3.0
1.04,0.351,3.347,3.0
1.045,0.336,3.418,3.0
1.05,0.367,3.358,3.0
1.055,0.336,3.37,3.0
1.06,0.27,3.39,3.0
1.065,0.306,3.363,3.0
1.07,0.297,3.395,3.0
1.075,0.291,3.345,3.0
1.08,0.335,3.39,3.0
1.085,0.272,3.408,3.0
1.09,0.363,3.327,3.0
1.095,0.336,3.412,3.0
1.1,0.273,3.363,3.0
1.105,0.327,3.36,3.0
1.11,0.281,3.375,3.0
1.115,0.307,3.365,3.0
1.12,0.306,3.422,3.0
1.125,0.285,3.36,3.0
1.13,0.344,3.352,3.0
1.135,0.282,3.412,3.0
1.14,0.295,3.358,3.0
1.145,0.334,3.38,3.0
1.15,0.269,3.422,3.0
1.155,0.319,3.372,3.0
1.16,0.312,3.395,3.0
1.165,0.282,3.372,3.0
1.17,0.326,3.4,3.0
1.175,0.285,3.39,3.0
1.18,0.318,3.35,3.0
1.185,0.3,3.442,3.0
1.19,0.274,3.375,3.0
1.195,0.317,3.35,3.0
1.2,0.28,3.425,3.0
1.205,0.299,3.38,3.0
1.21,0.331,3.385,3.0
1.215,0.269,3.418,3.0
1.22,0.345,3.388,3.0
1.225,0.306,3.388,3.0
1.23,0.283,3.35,3.0
1.235,0.322,3.398,3.0
1.24,0.282,3.402,3.0
1.245,0.32,3.338,3.0
1.25,0.299,3.438,3.0
